序号,报告页,疑似率,字符数,章节,源文件,片段摘录
11,7,79.17%,280,第1章,chapters/chapter1.tex,内容更接近实际求解步骤，减少与当前任务无关的知识 片段对代码生成的干扰。在执行验证与反馈推理阶段，编码智能体结合规划结果和检索知识生成可 执行代码；系统随后在小样本图上进行单元测试，用于检查程序的基本正确性。若执行过程中出现 报错、输出格式异常或结果不满足约束，推理智能体会根据反馈信息进行修正；若多轮局部修正仍 无法通过验证，系统则触发重新生成机制。通过这种局部修正与重生成结合的双层闭环，规划在前 向过程中约束检索和代码生成，执行反馈则在反向过程中修正实现偏差、知识不匹配和约束遗漏 ，最终得到更可靠的答案。 82.40% (441字符) 基于上述分析，本文将研究问题归纳为两个相互关联的挑战。第一，如何将复杂的自然语言图推理 任务稳定转换为可执行的求解过程。图任务通常同时包含任务语义、图结构信息和约束条件。如果 缺少合适的中间表示，模型可能出现“理解了问题但程序实现偏离目标”，或“程序可以运行但遗 漏关键约束”的情况。第二，如何在规划约束下完成面向当前任务的外部知识调用，并进一步提高 程序运行的可靠性。对于图推理任务而言，检索到的API、算法说明和示例是否与当前规划步骤一致 ，会直接影响后续代码生成质量。同时，单次程序生成很难覆盖所有边界情况，因此还需要通过执 行反馈和迭代修复机制来提高最终答案的正确率。
12,7,77.04%,121,第1章,chapters/chapter1.tex,语言模型给出最终答案，还要求其形成可追踪、可验证并且可 以修正的求解过程。具体而言，本文希望实现以下目标： （1）在方法层面，建立规划生成、知识检索和验证推理相结合的分阶段求解范式，并通过 反馈回流减少推理过程中的错误传播和答案幻觉； （2）在系统层面，设计面向多智能体协同的中间工件传递机制和黑板调度机制，使不同模块之间能 够保持信息一致，并提高求解过程的可解释性； （3）在实验层面，基于多个公开图推理基准测试集评估所提方法，重点考察其在精确匹配率、稳定 性和鲁棒性等方面的表现。
13,8,80.51%,348,第1章,chapters/chapter1.tex,系统首先对输入任务进行结构化解析，提取任务类型、图中涉及的节点与边信息以及相应约束条件 。随后，规划模块将求解思路整理为算法级伪代码，作为检索和代码生成阶段共享的中间语义表示 。检索模块根据伪代码中的算法步骤，从外部文档知识库中筛选可能需要的API说明和算法描述，并 结合检索结果的匹配情况判断是否需要进一步精炼知识片段或发起补充检索。之后，编码模块依据 规划结果和检索知识生成可执行程序，验证模块则通过测试结果判断程序是否满足任务要求，并在 出现错误时触发修复或重新生成。最后，系统按照题目要求整理并输出可复核的答案。相比直接生 成最终答案的方式，该技术路线把复杂图任务拆分为多个可以单独检查的环节，使错误来源更容易 被定位；同时，执行反馈为后续修正提供了明确依据，避免系统在失败后只是重复生成缺乏针对性 的答案。
14,10,79.81%,312,第2章,chapters/chapter2.tex,图表示序列化图结构如何表示，是大语言模型处理图推理任务时首先需要面对的问题。现有任务中 常见的表示方式包括边列表、邻接表、自然语言描述以及类似JSON的半结构化格式。边列表能够直 接列出节点之间的连接关系，适合表达图中的具体边；但当边同时带有方向、权重、时间戳等属性 时，输入长度和阅读难度都会增加。邻接表更突出节点的局部邻域信息，便于观察相邻节点关系 ，但对全局路径约束、连通关系或组合优化目标的表达不够直接。自然语言描述与用户提问形式更 接近，容易承载任务背景和需求说明，但也可能把图结构、背景信息和求解目标混在一起，增加模 型解析难度。半结构化表示更便于程序读取和后续解析，不过相较于自然语言，它对任务语义和隐 含条件的表达能力相对有限。
15,10,78.98%,190,第2章,chapters/chapter2.tex,入 后先构造结构化中间表示，再进入规划与程序生成阶段。 大语言模型推理增强技术本节围绕分步推理、结构化搜索与推理过程控制等方向，归纳大 语言模型在复杂任务中的能力增强路径，并分析其对图推理场景的可借鉴性。 链式与分解式推理Chain-of-Thought提示通过要求模型先生成中间推理步骤，再给出最终答案，以 提升复杂问题求解能力。Self-Consistency在此基础上采样多条思维链并进行投票，降低单次生成的 偶然误差。Least-to-MostPrompting 则强调先求解简单子问题，再逐步组合为完整解答。Zero- Shot CoT 与Selection-Inference的结果表明，即便在缺少显式示例或需要保持中间步骤可解释的情 况下，合理的推理分解也能改善模型表现。这些方法共同说明，对于复杂任务而言，分步思考是提 升模型稳定性的有效手段。
16,10,82.50%,397,第2章,chapters/chapter2.tex,。 大语言模型推理增强技术本节围绕分步推理、结构化搜索与推理过程控制等方向，归纳大 语言模型在复杂任务中的能力增强路径，并分析其对图推理场景的可借鉴性。 链式与分解式推理Chain-of-Thought提示通过要求模型先生成中间推理步骤，再给出最终答案，以 提升复杂问题求解能力。Self-Consistency在此基础上采样多条思维链并进行投票，降低单次生成的 偶然误差。Least-to-MostPrompting 则强调先求解简单子问题，再逐步组合为完整解答。Zero- Shot CoT 与Selection-Inference的结果表明，即便在缺少显式示例或需要保持中间步骤可解释的情 况下，合理的推理分解也能改善模型表现。这些方法共同说明，对于复杂任务而言，分步思考是提 升模型稳定性的有效手段。 78.98% (190字符) 然而，这些方法最初主要面向自然语言问答、数学计算或一般数值推理任务。在图推理场景中，模 型除了给出中间分析步骤，还必须把这些步骤落实到节点、边、路径、连通性或组合约束等具体图 操作上。如果中间过程只有自然语言解释，而缺少算法级的规划表示，模型生成的思路可能仍然比 较笼统，后续程序实现也难以准确判断应调用哪类图算法、如何组织输入以及如何检查输出约束。 搜索式与结构化推理Tree-of-Thoughts将问题求解过程看作一种搜索过程，通过扩展、评价和回溯 多条候选思路，增强模型在复杂任务中的探索能力。Graph-of-Thoughts进一步把不同思路组织成图 结构，使中间状态能够被复用，并支持思路之间关系的显式建模。ReAct将推理步骤与外部行动放在 同一循环中交替执行；Self-Refine、CRITIC以及过程验证类方法则说明，中间结果生成之后仍可以 继续接受检查、反馈和修正。这些研究共同表明，大语言模型的推理过程并不一定要表现为单条线
17,11,79.90%,317,第2章,chapters/chapter2.tex,思维链提示等方式 ，引导模型给出更完整的中间推理过程。第二阶段开始引入外部程序、工具或API，将精确 计算、查询和部分执行操作交给外部环境完成，从而弥补语言模型在数值计算和工具使用 上的不足。第三阶段则进一步关注多智能体协作和过程控制，在生成前后加入规划、检索 、审阅、验证和修复等步骤，使任务求解不再依赖单次生成结果。CAMEL、MetaGPT、 AgentVerse、AutoGen、LanguageAgents as Optimizable Graphs、Generative Agents 和 Voyager等工作都体现了这一趋势，即从单模型回答逐步转向多角色协同、过程可控和 持续执行的系统化求解方式。 图推理任务与上述演进路线具有较高契合度。一方面，图任务具有结构化输入、明确算法定义和可 执行求解过程；另一方面，任务结果通常可以通过程序运行或约束检查进行验证。因此，与其要求 单个模型在一次生成中同时完成问题理解、算法选择和程序实现，不如将这些功能拆分为多个可检 查阶段，并通过中间表示和外部工具提高整体稳定性。对于本文研究的问题，这一路径也为后续框 架设计提供了直接依据。 图 2.2概括展示了大语言模型推理增强方法的技术演化过程。对本文而言，这一演化过程不仅是相关 研究背景，也说明了图推理框架设计中需要关注的重点：仅通过提示词提升单次回答质量并不充分 ，还需要将外部知识、执行环境和验证反馈纳入同一求解流程中，从而形成更加稳定的程序化图推 理系统。
18,11,78.84%,236,第2章,chapters/chapter2.tex,间表示和外部工具提高整体稳定性。对于本文研究的问题，这一路径也为后续框 架设计提供了直接依据。 图 2.2概括展示了大语言模型推理增强方法的技术演化过程。对本文而言，这一演化过程不仅是相关 研究背景，也说明了图推理框架设计中需要关注的重点：仅通过提示词提升单次回答质量并不充分 ，还需要将外部知识、执行环境和验证反馈纳入同一求解流程中，从而形成更加稳定的程序化图推 理系统。 79.90% (317字符) 工具增强与多智能体协同由于图推理任务具有可执行、可验证的显著特征，工具调用、程序生成与 多智能体协同成为连接语言理解与算法求解的重要桥梁。本节重点讨论相关技术在图任务中的适配 方式。 程序生成驱动的图任务求解PAL的结果表明，在不少数学推理和符号推理任务中，让模型先生成程序 ，再由解释器执行计算，通常比直接输出答案更稳定。在通用程序生成方向，AlphaCode展示了大 模型处理复杂编程问题的能力。与此类似，GraphCoder等面向图任务的研究也尝试把自然语言图问 题转换为调用 NetworkX的程序，通过成熟图算法库完成具体求解。
19,11,80.15%,301,第2章,chapters/chapter2.tex,执行、可验证的显著特征，工具调用、程序生成与 多智能体协同成为连接语言理解与算法求解的重要桥梁。本节重点讨论相关技术在图任务中的适配 方式。 程序生成驱动的图任务求解PAL的结果表明，在不少数学推理和符号推理任务中，让模型先生成程序 ，再由解释器执行计算，通常比直接输出答案更稳定。在通用程序生成方向，AlphaCode展示了大 模型处理复杂编程问题的能力。与此类似，GraphCoder等面向图任务的研究也尝试把自然语言图问 题转换为调用 NetworkX的程序，通过成熟图算法库完成具体求解。 78.84% (236字符) 这种程序生成驱动的图任务求解方式，关键在于把精确计算环节从语言模型本身转移到外部执行环 境中。语言模型主要负责理解题意、选择算法并组织程序逻辑，具体的图计算、路径搜索或组合优 化过程则交由程序和图算法库完成。对于图推理这类既强调结构约束又要求精确结果的任务，这一 路线能够减少模型直接生成答案时的随机性和计算误差。 工具调用与外部知识使用Toolformer、ToolLLM等工作强调模型可以学习何时调用外部工具、使用 什么接口以及如何整合工具返回结果。Gorilla与 CRITIC的结果表明，模型不仅需要掌握调用能力 ，还需要在工具交互过程中完成 API对齐、结果校验和错误纠正。在图推理场景下，外部工具不仅包 括图计算函数，还包括图算法文档、函数说明和示例代码等知识源。
20,12,79.47%,298,第2章,chapters/chapter2.tex,"例如规划者、执行 者、检索者、审阅者和修复者等。不同角色在提示词、上下文和目标函数上各有侧重，可 以缓解单一智能体既要理解问题、又要生成程序、还要验证结果的压力。除GraphTeam 外 ,CAMEL、MetaGPT、AgentVerse、Generative Agents 与 Voyager等工作也从角色扮演协 作、软件式协同框架、群体模拟和持续探索等角度展示了多智能体系统的潜力。 不过，现有多智能体方法仍有进一步改进空间。首先，部分方法虽然设置了不同角色，但 协作过程更多表现为多轮讨论或意见汇总，缺少一个能够贯穿任务解析、检索、编码和修 复阶段的统一规划表示。其次，知识检索和执行验证在一些系统中仍属于辅助环节，通常 用于补充信息或检查结果，并没有与结构化求解流程深度绑定。对于图推理任务而言，角 色数量的增加并不能直接保证结果可靠；更关键的是让各角色围绕同一规划目标工作，并 通过执行反馈形成可回退、可修正的闭环。因此，本文进一步引入规划先行与验证闭环相 结合的组织方式，用于提升多智能体图推理过程的一致性和稳定性。 结合已有研究，面向图推理的多智能体系统在设计上至少需要考虑四个方面。第一，角色边界应当 明确。问题解析、规划生成、代码实现和执行验证如果职责混杂，系统虽然形式上完成了角色划分 ，但在出错时仍难以判断问题来自哪个阶段。第二，中间表示需要保持稳定。不同智能体之间不宜"
21,13,83.94%,444,第2章,chapters/chapter2.tex,推理增强、工具增强与多智能 体协同等角度梳理了本文工作的技术背景。为了明确相关工作的整体位置和本文方法的切 入点，本节从方法分类、任务能力分解和相关工作比较三个层面对已有技术进行归纳。 图推理相关方法分类公开基准测试集在图推理研究中扮演了非常重要的角色。一方面，它 们把原本零散的图算法问答、指令执行和动态图查询任务组织为可重复比较的标准测试集 ，使研究者能够更客观地评价模型性能。另一方面，不同基准测试集的设计重点并不相同 ，这恰好促使方法研究从单一任务优化转向跨任务泛化能力的讨论。例如，GraphArena更 强调经典算法与组合优化混合场景，NLGraph更强调自然语言问题理解，GraphWiz 和 GraphInstruct 更接近指令式执行，而LLM4DyG 又把时序动态性引入评价体系。 在本文中，引入基准测试集的目的并不只是说明使用了哪些数据，更重要的是分析不同基准分别考 察模型的哪些能力。各数据集在输入形式、图结构复杂度、约束强度和输出格式要求上并不相同。 只有先区分这些差异，才能解释同一种方法为什么可能在某个基准上取得较好结果，却在另一个基 准上出现性能下降。因此，本文在后续实验中不仅报告总体结果，也进一步从任务类别、样本难度 和扰动鲁棒性等角度进行分析。 为了更清楚地展示相关方法之间的关系，图 2.3从两个维度对代表性工作进行了整理。横轴表示方法 所面向的任务属性，左侧更接近通用推理任务，右侧更接近专门的图推理任务；纵轴表示方法的系 统组织程度，下方主要对应单次生成或弱反馈方法，上方则对应系统化协同或强闭环方法。位于左 下区域的CoT、Self-Consistency、ToT、GoT 和 CRITIC等方法，主要属于通用推理增强范式，关注 如何通过思维链扩展、路径搜索或自我修正提升单模型推理能力。位于右下区域的NLGraph、 GraphWiz、GraphGPT、GraphInstruct、GraphLLM、GCoder 和 LLM4DyG等工作，则更集中于图 任务本身，重点讨论图结构表示、图算法调用、程序化求解以及动态图推理等问题。
22,14,78.82%,263,第2章,chapters/chapter2.tex,示了两个相互交织的发展方向：一是从通用推理增强逐步转向图任务适配，二是从单模型 单次生成逐步转向系统化协同与闭环修正。本文方法同时关注图任务适配和系统化闭环求 解，因此与这两条发展方向保持一致。 图推理任务分类与能力分解为了更系统地理解图推理问题的研究范围，本文将常见任务划分为五类 ：结构查询类、路径搜索类、排序与可达性类、网络流与匹配类以及组合优化类。结构查询类任务 通常关注邻居、度数、连通分量和局部关系判断，更依赖图构建的准确性；路径搜索类任务关注最 短路径、可达性与遍历顺序，要求系统稳定处理边权、方向和路径格式；排序与可达性类任务强调 全局先后约束，例如拓扑排序和有向无环图判定；网络流与匹配类任务要求对容量、配对约束和全 局最优性同时建模；组合优化类任务如最大团、最小点覆盖和旅行商问题，则提高了搜索复杂度和 验证难度。
23,16,80.09%,322,第3章,chapters/chapter3.tex,为避免后续符号含义混淆，本文在方法章节中统一使用 Q表示原始自然语言问题，G 表示规范化后 的图数据，T 表示结构化任务描述，P表示规划结果，K 表示检索得到的知识集合，C 表示候选程序 ，F表示执行反馈，A 表示最终答案。 这一形式化定义主要突出图推理中的两点要求。首先，图推理不能只被看作文本理解问题，最终答 案需要同时满足图结构约束和算法约束。例如，在路径类任务中，输出的节点序列必须保证相邻节 点之间确实存在边；在旅行商问题中，结果不仅要访问所有节点，还需要形成闭合回路，并满足代 价优化目标。其次，图推理也不能简单等同于程序执行。原始任务中的目标描述、约束条件和输出 格式通常以自然语言给出，系统需要先完成语义解析，才能进一步选择合适的图算法并构造可执行 过程。
24,18,80.78%,362,第3章,chapters/chapter3.tex,"务类型或关键约束在这一阶段没有被显式提取，规划结果就可能从一开始偏离正 确方向。例如，对于旅行商问题，若解析阶段没有识别回到起点这一约束，规划阶段可能 只生成一条覆盖所有节点的路径，而不是闭合回路；在最大流问题中，若容量字段未被识 别，程序生成阶段可能将边权误用为普通距离。由此可见，解析阶段对约束的保真度直接 影响规划质量。 伪代码规划生成规划智能体基于结构化任务描述生成算法级伪代码规划： P←PlanningAgent(T)其中 P={p,p,…,p_(n)}表示一系列求解步骤，每个步骤对应一个清晰 的算法动作。本文采用伪代码而不是自然语言长段解释，主要是为了让规划同时服务于知 识检索、程序生成和执行验证。伪代码不要求完全符合某种编程语言语法，但需要明确输 入、计算、约束检查和输出之间的关系。 以带权最短路径任务为例，规划通常包含构建带权图、读取源点和目标点、调用最短路径算法、计 算路径总代价、按要求格式化输出等步骤。对于旅行商问题，规划则包含构建带权无向图、固定起 点或选择起点、枚举或搜索满足哈密顿回路约束的候选路径、计算每条回路总代价、返回最小代价 路径等步骤。不同任务的规划内容不同，但都遵循图构建—算法执行—约束验证—结果整理的基本结 构。 为了避免规划成为不可执行的自由文本，本文在生成阶段引入三类约束。首先，规划需要显式指明 任务族和核心算法方向，避免后续检索在过宽范围内搜索。其次，规划需要单独列出关键约束，而 不是把约束隐含在泛化描述中。最后，规划步骤需要保持合理顺序，尤其要避免先进行结果格式化 、再补充图构建或约束检查这类顺序错误。通过这些约束，规划能够承担前向骨架的作用，为下游 检索、编码和验证提供稳定语义。"
25,18,82.38%,441,第3章,chapters/chapter3.tex,免规划成为不可执行的自由文本，本文在生成阶段引入三类约束。首先，规划需要显式指明 任务族和核心算法方向，避免后续检索在过宽范围内搜索。其次，规划需要单独列出关键约束，而 不是把约束隐含在泛化描述中。最后，规划步骤需要保持合理顺序，尤其要避免先进行结果格式化 、再补充图构建或约束检查这类顺序错误。通过这些约束，规划能够承担前向骨架的作用，为下游 检索、编码和验证提供稳定语义。 80.78% (362字符) 规划表示设计本文对规划表示提出三个设计要求。第一，原子性。每条规划步骤应尽量只 表达一个核心动作，避免一条语句中混合构图、算法调用和输出整理等多个目标。原子化 步骤有利于后续将规划映射为检索查询、程序片段和验证检查点。第二，约束显式性。对 于起点固定、必须回路、容量限制、时间过滤、节点不重复等关键约束，规划需要以独立 步骤或标签形式给出。第三，工具无关性。规划本身不绑定某个具体库函数名，而是描述 算法语义；具体API 选择交由检索和编码阶段完成。 在这种表示方式下，规划不是单纯的自然语言说明，也不是可以直接运行的完整代码，而是位于任 务语义和程序实现之间的一层中间表示。它保留了一定抽象性，因此可以适配不同的图计算库和执 行环境；同时又明确给出算法步骤和关键约束，能够对后续检索和编码形成约束。与自由形式的思 维链相比，规划表示减少了冗余解释和随机展开；与直接生成代码相比，它又能更清楚地保留任务 目标和算法意图。 需要说明的是，规划阶段本身也可能出错。根据实验中的错误情况，常见问题包括任务类型判断错 误、关键约束遗漏、步骤描述过粗、步骤顺序不合适以及算法选择方向偏差等。任务类型判断错误 会使后续检索和代码生成从一开始偏离目标；约束遗漏可能导致程序虽然能够运行，但输出结果并 不符合题意；步骤描述过粗会使编码智能体缺少必要的实现依据；步骤顺序不合适则可能使生成程 序的控制流程变得混乱。本文并不默认规划结果一定正确，而是利用执行反馈对规划进行间接检查 。当错误信息多次指向同一类约束缺失或算法偏差时，系统可以回退到规划阶段，对原有规划进行 修正。
